metric_id,company_id,period,energy_consumption_mwh,carbon_emissions_tons,water_usage_cubic_m,waste_output_tons,renewable_energy_pct
33,C003,2025-09,2965.78,1699.76,3014.72,77.1,24.11
34,C003,2025-10,2738.33,1522.27,3110.86,83.14,28.28
35,C003,2025-11,2862.72,1666.26,3024.64,97.3,28.61
36,C003,2025-12,2744.07,1437.18,3145.83,80.63,29.52
37,C004,2025-01,4094.65,1891.7,8618.94,223.49,24.11
38,C004,2025-02,4090.11,1886.96,8275.19,248.11,26.9
39,C004,2025-03,3674.44,1842.9,8674.91,221.05,27.97
40,C004,2025-04,3872.1,1905.34,8921.13,212.7,26.51
41,C004,2025-05,3783.65,1806.12,8513.21,292.72,30.66
42,C004,2025-06,3815.84,1813.31,8388.95,220.7,32.16
43,C004,2025-07,3396.46,1654.32,7756.3,222.08,36.4
44,C004,2025-08,3132.56,1708.77,7147.21,208.81,35.08
45,C004,2025-09,3388.17,1500.49,7327.17,221.12,32.57
46,C004,2025-10,3335.19,1571.54,7181.95,237.17,36.42
47,C004,2025-11,2895.43,1547.4,7008.83,213.37,34.7
48,C004,2025-12,3125.77,1538.55,7379.76,179.98,36.74
49,C005,2025-01,1958.89,665.79,5621.73,117.07,44.24
50,C005,2025-02,1865.43,582.16,5769.69,118.02,39.03
51,C005,2025-03,1786.49,660.45,5555.7,106.36,34.42
52,C005,2025-04,1633.39,612.26,5380.53,117.23,38.49
53,C005,2025-05,1658.12,617.04,6058.67,93.2,44.13
54,C005,2025-06,1670.13,567.3,5692.82,103.43,41.05
55,C005,2025-07,1648.87,579.64,5508.2,105.07,45.87
56,C005,2025-08,1516.91,658.64,4863.88,97.77,44.33
57,C005,2025-09,1613.19,553.01,5247.63,93.86,42.42
58,C005,2025-10,1631.17,577.13,5034.97,101.64,44.67
59,C005,2025-11,1601.09,576.58,4915.94,90.34,46.0
60,C005,2025-12,1558.57,545.46,5070.94,100.69,43.77
61,C006,2025-01,1483.67,586.26,3644.45,105.69,37.61
62,C006,2025-02,1489.45,567.88,3417.89,101.44,35.87
63,C006,2025-03,1482.94,560.44,3302.62,112.8,35.25
64,C006,2025-04,1374.82,573.97,3550.43,101.84,39.65
65,C006,2025-05,1450.68,503.59,3399.83,92.18,41.47
66,C006,2025-06,1428.88,501.66,3304.77,98.74,39.53
67,C006,2025-07,1368.67,531.02,3371.28,91.78,40.84
68,C006,2025-08,1431.67,473.84,3069.85,89.6,42.49
69,C006,2025-09,1424.95,560.03,3414.39,92.5,44.01
70,C006,2025-10,1321.3,509.48,3198.89,94.83,43.52
71,C006,2025-11,1414.73,552.1,3199.99,94.51,47.69
72,C006,2025-12,1339.39,507.9,3191.24,91.74,45.89
73,C007,2025-01,3753.95,1269.07,7753.61,132.48,66.74
74,C007,2025-02,3581.27,1376.57,6810.64,133.61,64.52
75,C007,2025-03,3215.45,1194.51,6921.86,145.41,67.13
76,C007,2025-04,3988.27,1321.42,7082.09,136.68,68.15
77,C007,2025-05,3451.05,1406.05,7825.71,142.94,64.47
78,C007,2025-06,3997.12,1274.73,7950.8,133.03,67.42
79,C007,2025-07,3793.43,1303.93,7414.19,158.31,67.2
80,C007,2025-08,3813.83,1326.48,7879.96,161.3,67.81
81,C007,2025-09,3591.54,1435.93,7909.1,147.44,73.89
82,C007,2025-10,3961.44,1445.95,7903.91,180.27,75.02
83,C007,2025-11,3937.76,1446.8,8232.13,174.78,70.3
84,C007,2025-12,4174.58,1471.7,7362.42,148.07,68.88
85,C008,2025-01,2365.26,904.0,12977.17,162.61,26.59
86,C008,2025-02,2219.44,931.46,12119.9,155.74,30.37
87,C008,2025-03,2104.41,957.97,12504.58,172.07,30.07
88,C008,2025-04,2156.28,927.94,13012.35,173.43,32.65
89,C008,2025-05,2241.44,897.11,12491.78,174.73,31.09
90,C008,2025-06,2188.66,1064.68,12721.12,181.15,33.17
91,C008,2025-07,2340.5,950.12,13232.73,202.79,32.23
92,C008,2025-08,2310.84,957.3,11484.48,174.03,36.57
93,C008,2025-09,2602.77,969.15,13496.14,201.06,40.54
94,C008,2025-10,2566.64,986.7,12624.31,176.5,35.34
95,C008,2025-11,2363.31,919.06,12964.34,185.75,38.86
96,C008,2025-12,2591.23,1014.81,14538.93,204.16,34.31
97,C009,2025-01,853.32,296.57,1434.33,18.06,56.85
98,C009,2025-02,986.46,274.97,1543.05,19.1,54.97
99,C009,2025-03,874.28,284.76,1505.26,18.86,57.43
100,C009,2025-04,899.19,296.18,1434.25,19.22,59.35
101,C009,2025-05,924.53,283.01,1510.7,21.1,55.44
102,C009,2025-06,926.94,288.85,1546.96,18.98,56.12
103,C009,2025-07,829.44,301.84,1524.4,18.79,61.95
104,C009,2025-08,828.35,299.94,1414.49,19.16,61.71
105,C009,2025-09,865.0,294.34,1582.27,19.28,64.23
106,C009,2025-10,853.29,311.04,1615.92,16.62,61.92
107,C009,2025-11,930.96,297.94,1536.08,19.26,64.63
108,C009,2025-12,898.29,322.92,1528.1,20.59,64.58
109,C010,2025-01,4078.89,1852.01,9130.4,286.32,26.74
110,C010,2025-02,3883.87,2010.57,8702.26,211.56,23.35
111,C010,2025-03,3531.98,1811.78,8775.1,272.11,26.38
112,C010,2025-04,3802.56,1917.11,7694.16,244.26,27.63
113,C010,2025-05,3512.5,1925.27,8678.49,230.17,27.72
114,C010,2025-06,4165.89,1796.43,8522.03,226.3,25.12
115,C010,2025-07,3842.54,1662.43,8330.78,222.88,28.14
116,C010,2025-08,3698.28,1835.42,7975.87,223.05,25.59
117,C010,2025-09,3506.16,1741.82,8373.47,209.65,29.65
118,C010,2025-10,3773.6,1720.32,8697.79,208.91,25.78
119,C010,2025-11,3172.58,1802.56,8091.48,216.8,29.2
120,C010,2025-12,3237.46,1868.61,7768.51,216.05,30.45
